Paradigm,Head orientation,Torso orientation,Arms/Hands,Facial affect,Proxemics,Sentiment_Score
B,Tracking,"Neutral, Tracking","Crossed, Self-touch","Neutral, Smile",Comfortable,0
F,"Tracking, Neutral",Neutral,Crossed,Smile,Comfortable,0
B,"Tracking, Away","Neutral, Tracking","Crossed, Self-touch","Smile, Frown",Comfortable,0
F,Tracking,Neutral,Crossed,Neutral,Comfortable,0
A,Tracking,Neutral,Crossed,Neutral,Comfortable,0
F,Tracking,Neutral,"Crossed, Self-touch","Neutral, Smile",Comfortable,0
A,Tracking,Neutral,Crossed,"Smile, Neutral",Comfortable,0
B,Tracking,Neutral,Crossed,Neutral,Comfortable,0
F,Tracking,"Neutral, Tracking","Back, Crossed, Self-touch, Neutral/Side",Smile,Comfortable,0
A,"Tracking, Away","Neutral, Tracking",Crossed,"Neutral, Smile",Comfortable,0
B,Tracking,"Neutral, Tracking",Crossed,Smile,Comfortable,0
A,"Neutral, Away, Tracking","Tracking, Neutral",Neutral/Side,Smile,Comfortable,0
B,"Tracking, Away",Tracking,Neutral/Side,Smile,Comfortable,0
F,Tracking,Tracking,Neutral/Side,Smile,Comfortable,0
F,Tracking,"Neutral, Tracking",Neutral/Side,"Neutral, Smile",Comfortable,0
B,Tracking,"Neutral, Tracking",Neutral/Side,Smile,Comfortable,0
A,"Neutral, Tracking","Neutral, Tracking",Neutral/Side,"Neutral, Frown",Comfortable,0
A,Tracking,"Neutral, Tracking",Neutral/Side,"Neutral, Smile",Comfortable,0
B,Tracking,Neutral,"Neutral/Side, Self-touch","Smile, Neutral",Comfortable,0
F,"Neutral, Tracking",Neutral,"Neutral/Side, Self-touch","Neutral, Smile",Comfortable,0
B,Tracking,"Neutral, Tracking",Crossed,Smile,Comfortable,0
F,Tracking,"Neutral, Tracking",Crossed,"Neutral, Smile",Comfortable,0
A,Tracking,"Neutral, Tracking",Crossed,"Neutral, Smile",Comfortable,0
A,Tracking,Tracking,Back,"Smile, Neutral",Comfortable,0
F,"Tracking, Away",Tracking,Back,"Neutral, Smile","Comfortable, Withdrawal signal",0
B,"Neutral, Tracking","Neutral, Tracking",Back,"Neutral, Smile","Comfortable, Withdrawal signal",0
B,Tracking,Tracking,"Crossed, Back","Neutral, Frown, Raised brows",Comfortable,0
F,"Neutral, Away, Tracking","Neutral, Tracking",Back,Neutral,Comfortable,0
A,"Tracking, Away","Neutral, Tracking","Back, Crossed, Self-touch",Neutral,Comfortable,0
A,"Neutral, Tracking",Neutral,Crossed,"Neutral, Smile",Comfortable,0
B,"Tracking, Away",Neutral,Neutral/Side,Neutral,Comfortable,0
F,"Neutral, Away, Tracking",Neutral,Crossed,Neutral,Comfortable,0
B,Tracking,"Neutral, Tracking",Back,Smile,Comfortable,0
F,Tracking,"Neutral, Tracking",Back,"Neutral, Smile",Comfortable,0
A,Tracking,Neutral,Back,"Neutral, Smile",Comfortable,0
F,Tracking,Tracking,Neutral/Side,"Frown, Neutral",Comfortable,0
A,Tracking,Tracking,Neutral/Side,"Neutral, Frown",Comfortable,0
B,Tracking,Neutral,Neutral/Side,Neutral,Comfortable,0
F,Tracking,Tracking,Back,"Neutral, Frown",Comfortable,0
B,Tracking,Tracking,Back,"Neutral, Smile",Comfortable,0
A,Tracking,Tracking,"Back, Self-touch","Neutral, Smile",Comfortable,0
B,"Tracking, Away","Neutral, Tracking",Back,Smile,Comfortable,0
F,"Neutral, Tracking",Neutral,Back,"Neutral, Smile, Raised brows",Comfortable,0
A,"Neutral, Away, Tracking",Neutral,Back,"Smile, Raised brows",Comfortable,0
B,Tracking,Neutral,"Crossed, Fidgeting","Neutral, Smile",Comfortable,0
F,Tracking,Neutral,Back,"Neutral, Smile",Comfortable,0
A,Tracking,"Neutral, Tracking",Back,Neutral,Comfortable,0
A,"Neutral, Away, Tracking",Tracking,"Neutral/Side, Self-touch",Smile,Comfortable,0
B,"Away, Neutral",Neutral,Neutral/Side,Smile,Comfortable,0
F,"Neutral, Tracking",Neutral,"Neutral/Side, Crossed",Smile,Comfortable,0
A,Tracking,Tracking,"Neutral/Side, Self-touch, Fidgeting","Neutral, Smile","Comfortable, Withdrawal signal",0
F,Tracking,Tracking,Crossed,Neutral,Comfortable,0
B,"Tracking, Away","Tracking, Neutral","Crossed, Self-touch",Neutral,Comfortable,0
B,"Tracking, Away","Tracking, Away","Crossed, Self-touch, Back",Smile,Comfortable,0
A,Tracking,Neutral,"Crossed, Fidgeting",Neutral,Comfortable,0
F,Tracking,Tracking,Back,Neutral,Comfortable,0
F,Tracking,Neutral,Crossed,Neutral,Comfortable,0
A,Tracking,"Neutral, Tracking",Back,Neutral,Comfortable,0
B,Tracking,"Neutral, Tracking",Back,Neutral,Comfortable,0
F,Tracking,"Neutral, Tracking","Back, Self-touch, Fidgeting",Smile,Comfortable,0
A,Tracking,"Neutral, Tracking","Back, Crossed, Self-touch, Fidgeting","Smile, Raised brows",Comfortable,0
B,"Neutral, Away, Tracking","Neutral, Tracking","Back, Self-touch, Fidgeting","Neutral, Smile",Comfortable,0
A,Tracking,Neutral,Back,Smile,Comfortable,0
B,Neutral,Neutral,"Crossed, Self-touch","Neutral, Smile",Comfortable,0
F,"Tracking, Neutral","Neutral, Tracking",Crossed,Smile,Comfortable,0
B,Tracking,Tracking,"Crossed, Self-touch",Smile,Comfortable,0
A,"Tracking, Away","Neutral, Tracking","Crossed, Self-touch, Fidgeting",Neutral,Comfortable,0
F,"Tracking, Neutral",Neutral,"Neutral/Side, Back","Neutral, Smile",Comfortable,0
A,"Tracking, Away",Tracking,"Crossed, Self-touch, Neutral/Side",Neutral,Comfortable,0
B,"Tracking, Away","Neutral, Tracking","Back, Neutral/Side","Neutral, Smile, Frown",Comfortable,0
F,"Neutral, Tracking",Neutral,"Neutral/Side, Self-touch, Back","Neutral, Frown",Comfortable,0
B,"Tracking, Neutral","Neutral, Tracking",Crossed,"Neutral, Smile",Comfortable,0
F,Tracking,Neutral,Neutral/Side,"Neutral, Smile",Comfortable,0
A,Tracking,"Neutral, Tracking","Neutral/Side, Self-touch","Neutral, Smile",Comfortable,0
F,Tracking,Tracking,Crossed,Smile,Comfortable,0
B,Tracking,Tracking,"Crossed, Self-touch","Neutral, Smile",Comfortable,0
A,Tracking,Neutral,Back,"Neutral, Smile",Comfortable,0
A,"Tracking, Away","Tracking, Neutral","Back, Crossed","Neutral, Smile",Comfortable,0
B,"Tracking, Neutral",Neutral,"Back, Crossed","Neutral, Smile",Comfortable,0
F,Tracking,Tracking,Crossed,Neutral,Comfortable,0
A,"Neutral, Away, Tracking",Neutral,Crossed,Smile,Comfortable,0
F,"Tracking, Away",Neutral,Crossed,"Neutral, Smile",Comfortable,0
B,"Tracking, Away",Neutral,Crossed,Neutral,Comfortable,0
B,"Neutral, Away, Tracking","Neutral, Tracking",Crossed,"Neutral, Smile",Comfortable,0
A,Tracking,Neutral,Crossed,Smile,Comfortable,0
F,"Tracking, Away","Neutral, Tracking","Crossed, Self-touch",Smile,Comfortable,0
B,Tracking,Tracking,Neutral/Side,"Smile, Raised brows",Comfortable,0
A,Tracking,Tracking,Neutral/Side,"Smile, Raised brows",Comfortable,0
F,Tracking,Tracking,Neutral/Side,"Neutral, Smile, Frown, Raised brows",Comfortable,0
A,Tracking,Neutral,Crossed,"Smile, Frown",Comfortable,0
,Away,Neutral,"Crossed, Self-touch",Smile,Comfortable,0
F,Tracking,Neutral,Crossed,Smile,Comfortable,0
B,"Tracking, Away",Neutral,"Crossed, Self-touch",Smile,Comfortable,0
F,Tracking,Neutral,Crossed,"Neutral, Smile, Raised brows",Comfortable,0
A,Tracking,Tracking,"Crossed, Fidgeting","Neutral, Smile",Comfortable,0
F,Tracking,Neutral,Neutral/Side,"Neutral, Smile",Comfortable,0
A,Tracking,Neutral,Neutral/Side,"Neutral, Smile",Comfortable,0
B,Tracking,Neutral,Neutral/Side,"Neutral, Smile, Raised brows",Comfortable,0
F,Tracking,Neutral,"Back, Fidgeting, Neutral/Side","Neutral, Smile, Raised brows",Comfortable,0
A,Tracking,Neutral,Neutral/Side,"Neutral, Smile, Raised brows",Comfortable,0
B,Tracking,Tracking,Neutral/Side,"Neutral, Smile",Comfortable,0
A,Tracking,Tracking,"Neutral/Side, Fidgeting",Smile,Comfortable,0
B,Tracking,Tracking,"Neutral/Side, Self-touch","Smile, Frown",Comfortable,0
F,Tracking,Tracking,Neutral/Side,Smile,Comfortable,0
F,Tracking,Neutral,"Neutral/Side, Self-touch",Smile,Comfortable,0
B,Tracking,Neutral,Neutral/Side,Smile,Comfortable,0
A,Tracking,Neutral,Neutral/Side,Smile,Comfortable,0
A,Tracking,Neutral,Neutral/Side,Neutral,Comfortable,0
B,Tracking,Neutral,"Neutral/Side, Self-touch","Neutral, Smile, Frown",Comfortable,0
F,Tracking,Neutral,Neutral/Side,"Neutral, Smile",Comfortable,0
B,Tracking,Tracking,Neutral/Side,"Neutral, Smile",Comfortable,0
F,Tracking,Tracking,Neutral/Side,"Smile, Neutral",Comfortable,0
A,Tracking,Tracking,Neutral/Side,"Smile, Neutral",Comfortable,0
A,Tracking,Tracking,Back,Smile,Comfortable,0
F,Tracking,Tracking,Back,Smile,Comfortable,0
B,Tracking,Tracking,Back,Neutral,Comfortable,0
B,Tracking,Neutral,Crossed,"Neutral, Smile",Comfortable,0
F,"Tracking, Away",Neutral,Back,Neutral,Comfortable,0
A,Tracking,Neutral,Back,Neutral,Comfortable,0
A,Tracking,Neutral,Neutral/Side,"Neutral, Smile",Comfortable,0
B,Tracking,Neutral,Neutral/Side,"Neutral, Smile, Raised brows",Comfortable,0
F,Tracking,Neutral,"Neutral/Side, Self-touch","Neutral, Smile",Comfortable,0
B,Tracking,Neutral,Back,"Neutral, Smile",Comfortable,0
F,Tracking,Neutral,Back,"Neutral, Smile",Comfortable,0
A,Tracking,Neutral,Back,"Neutral, Smile",Comfortable,0
B,Tracking,Tracking,Back,"Raised brows, Smile, Frown",Comfortable,0
F,Tracking,Neutral,Back,"Raised brows, Smile, Frown",Comfortable,0
A,Tracking,Neutral,Back,"Smile, Frown, Raised brows",Comfortable,0
B,Tracking,Neutral,Neutral/Side,Smile,Comfortable,0
F,Tracking,Neutral,Back,"Neutral, Smile",Comfortable,0
A,Tracking,Neutral,Back,Neutral,Comfortable,0
A,"Tracking, Away",Neutral,Neutral/Side,Smile,Comfortable,0
B,Tracking,Neutral,"Neutral/Side, Self-touch, Fidgeting",Smile,Comfortable,0
F,"Tracking, Away",Neutral,"Neutral/Side, Crossed, Self-touch",Smile,Comfortable,0
A,Tracking,Tracking,"Neutral/Side, Self-touch",Smile,Comfortable,0
F,Tracking,Neutral,Neutral/Side,"Neutral, Smile",Comfortable,0
B,Tracking,Neutral,"Neutral/Side, Self-touch","Neutral, Smile",Comfortable,0
B,"Tracking, Away",Tracking,"Neutral/Side, Self-touch, Back","Smile, Neutral",Comfortable,0
A,Tracking,Tracking,Neutral/Side,"Neutral, Smile",Comfortable,0
F,Tracking,Tracking,"Back, Neutral/Side","Neutral, Smile",Comfortable,0
F,Tracking,Neutral,Neutral/Side,Neutral,Comfortable,0
A,Tracking,Neutral,Back,Neutral,Comfortable,0
B,Tracking,Neutral,Back,"Neutral, Smile",Comfortable,0
F,Tracking,Tracking,"Self-touch, Back","Smile, Raised brows",Comfortable,0
A,Tracking,Tracking,"Self-touch, Fidgeting, Back, Neutral/Side","Smile, Frown",Comfortable,0
B,Tracking,Tracking,"Self-touch, Fidgeting, Back","Smile, Frown, Raised brows",Comfortable,0
A,Tracking,Neutral,Back,Smile,Comfortable,0
B,Tracking,Neutral,Neutral/Side,Smile,Comfortable,0
F,Tracking,Neutral,"Neutral/Side, Self-touch",Smile,Comfortable,0
B,Tracking,Neutral,Neutral/Side,Smile,Comfortable,0
A,Tracking,Neutral,"Neutral/Side, Crossed, Self-touch","Smile, Frown",Comfortable,0
F,Tracking,Neutral,"Neutral/Side, Self-touch","Smile, Neutral, Frown",Comfortable,0
A,"Tracking, Away",Neutral,"Self-touch, Neutral/Side","Neutral, Frown, Raised brows",Comfortable,0
B,Tracking,Neutral,Neutral/Side,"Neutral, Smile, Frown",Comfortable,0
F,Tracking,Neutral,"Back, Self-touch","Neutral, Frown, Raised brows",Comfortable,0
B,Tracking,Tracking,Crossed,Smile,Comfortable,0
F,Tracking,Tracking,Neutral/Side,"Neutral, Smile",Comfortable,0
A,Tracking,Neutral,Neutral/Side,"Neutral, Smile",Comfortable,0
F,Tracking,Tracking,Crossed,Smile,Comfortable,0
B,Tracking,Neutral,Crossed,Smile,Comfortable,0
A,Tracking,Neutral,Back,"Smile, Neutral",Comfortable,0
A,Tracking,Neutral,"Back, Crossed","Smile, Neutral",Comfortable,0
B,Tracking,Neutral,"Back, Crossed, Self-touch","Smile, Raised brows",Comfortable,0
F,Tracking,Neutral,Crossed,"Smile, Neutral",Comfortable,0
A,"Tracking, Away",Neutral,Neutral/Side,"Smile, Frown, Raised brows",Comfortable,0
F,"Away, Tracking",Neutral,Neutral/Side,"Neutral, Smile, Raised brows",Comfortable,0
B,"Away, Tracking",Neutral,Neutral/Side,"Smile, Raised brows",Comfortable,0
B,Tracking,Neutral,Crossed,"Smile, Frown",Comfortable,0
A,Tracking,Neutral,Crossed,"Smile, Raised brows",Comfortable,0
F,Tracking,Tracking,Neutral/Side,"Smile, Frown",Comfortable,0
F,Tracking,Neutral,Neutral/Side,Neutral,Comfortable,0
A,Tracking,Neutral,Neutral/Side,Neutral,Comfortable,0
B,Tracking,Neutral,Neutral/Side,Neutral,Comfortable,0
F,Tracking,Neutral,Back,Neutral,Comfortable,0
B,Tracking,Tracking,Back,"Neutral, Smile, Frown",Comfortable,0
A,Tracking,Tracking,"Back, Self-touch","Neutral, Smile, Frown",Comfortable,0
