Variabile,IT_Media,IT_Std,DE_Media,DE_Std,KS_p_value,Cliffs_Delta,Effetto
Culture_Country,0.7647058823529411,0.34765495910203165,0.7763157894736842,0.28740622676150657,0.9939784360019404,-0.05572755417956656,Trasc.
Culture_Language,1.1911764705882353,0.32511310249167863,1.0921052631578947,0.3250056229832959,0.8775803654286993,0.19814241486068113,Piccolo
Culture_Culture_Self,0.9705882352941176,0.3172434118353621,0.8157894736842105,0.3210454413920193,0.6317849593566573,0.2631578947368421,Piccolo
Robot_Human_Q1,0.5588235294117647,0.24253562503633297,0.5263157894736842,0.2341464528954235,0.9998198545376569,0.09287925696594428,Trasc.
Robot_Human_Q2,0.4117647058823529,0.2154424312350531,0.4473684210526316,0.24408200136800925,0.952730934490861,-0.16718266253869968,Piccolo
Robot_Human_Q3,0.5735294117647058,0.21221867190679136,0.6052631578947368,0.2253976343426245,0.8775803654286993,-0.10526315789473684,Trasc.
Robot_Human_Q4,0.7647058823529411,0.20673405763984629,0.7894736842105263,0.22458538797354577,0.8775803654286993,-0.06811145510835913,Trasc.
Robot_Human_Q5,0.8088235294117647,0.18811174713920634,0.7631578947368421,0.22781699847755357,0.7492317100770938,0.10526315789473684,Trasc.
Robot_Human_Q6,0.75,0.29315098498896436,0.6578947368421053,0.3028857310635008,0.8775803654286993,0.17647058823529413,Piccolo
Robot_You_Q1,0.35294117647058826,0.28032937559865073,0.35526315789473684,0.2676516895156554,0.999894949885761,-0.01238390092879257,Trasc.
Robot_You_Q2,0.5588235294117647,0.2728525781658746,0.6052631578947368,0.26765168951565543,0.9721841132219815,-0.09287925696594428,Trasc.
Robot_You_Q3,0.6617647058823529,0.19647631199834395,0.6052631578947368,0.20942695414584778,0.9114804558340855,0.16408668730650156,Piccolo
Robot_You_Q4,0.6323529411764706,0.17935751349485984,0.6842105263157895,0.26143441475133733,0.7492317100770938,-0.15170278637770898,Piccolo
Robot_You_Q5,0.6029411764705882,0.2939337660486277,0.5921052631578947,0.27901770050120916,1.0,0.030959752321981424,Trasc.
Robot_You_Q6,0.5441176470588235,0.34500106564200295,0.4868421052631579,0.3170357959386175,0.7303008338497047,0.07120743034055728,Trasc.
