,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
count,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
mean,2.625,2.625,3.375,5.375,6.25,6.375,6.125,6.625,5.625,2.875,5.645833333333334
std,1.685018016012207,1.5979898086569353,1.5059406173077154,1.9955307206712847,1.4880476182856899,2.38671920665766,1.1259916264596033,1.5979898086569353,1.5979898086569353,1.511201561251893,1.317343774726737
min,1.0,1.0,2.0,3.0,4.0,3.0,5.0,5.0,4.0,1.3333333333333333,4.055555555555555
25%,1.75,1.75,2.0,4.0,5.0,4.75,5.0,5.0,4.75,1.9166666666666667,4.583333333333334
50%,2.0,2.0,3.0,4.5,6.5,6.5,6.0,6.5,5.0,2.333333333333333,5.388888888888889
75%,3.25,3.5,4.25,7.25,7.25,8.25,7.0,8.0,6.5,3.5,6.583333333333334
max,6.0,5.0,6.0,8.0,8.0,9.0,8.0,9.0,8.0,5.333333333333333,7.666666666666667
