Head orientation ,Head orientation (optionals),Torso orientation ,Torso orientation (optional),Arms/Hands ,Arms/Hands (optionals),Facial affect ,Facial affect (optionals),Proxemics ,Proxemics (optionals),Paradigm,Unnamed: 3,Nationality
Tracking,,Tracking,,Neutral/Side,,Neutral,,Comfortable,,F,,German
Tracking,,Neutral,,Neutral/Side,,Smile,,Comfortable,,F,,German
Tracking,,Tracking,,Crossed,,Smile,,Comfortable,,F,,Italian
Tracking,,Tracking,,Back,,Smile,,Comfortable,,F,,German
Tracking,,Tracking,,Crossed,,Smile,,Comfortable,,F,,German
Tracking,,Neutral,,Crossed,,Smile,Raised brows,Comfortable,,F,,Italian
Tracking,,Neutral,,Neutral/Side,,Smile,Raised brows,Comfortable,,F,,German
Tracking,Neutral,Neutral,,Neutral/Side,,Neutral,Smile,Comfortable,,F,,German
Tracking,,Neutral,,Back,,Smile,Raised brows,Comfortable,,F,,Italian
Tracking,,Neutral,,Back,,Neutral,Smile,Comfortable,,F,,Italian
Tracking,Away,Tracking,,Crossed,Self-touch,Neutral,"Smile, Raised brows",Comfortable,,F,,German
Away,Neutral,Neutral,Tracking,Crossed,Self-touch,Neutral,Smile,Comfortable,,F,,Italian
Neutral,"Away, Tracking",Tracking,Neutral,Back,,Smile,,Comfortable,Invasion,F,,German
Tracking,,Neutral,,Neutral/Side,Self-touch,Neutral,"Smile, Raised brows",Comfortable,,F,,Italian
Tracking,Away,Neutral,,Neutral/Side,Self-touch,Neutral,Smile,Comfortable,,F,,Italian
Tracking,,Neutral,,Neutral/Side,"Crossed, Self-touch",Smile,Neutral,Comfortable,,F,,Italian
Away,Tracking,Neutral,,Back,,Smile,Raised brows,Comfortable,,F,,German
Tracking,Away,Neutral,,Neutral/Side,,Neutral,"Smile, Frown, Raised brows",Comfortable,,F,,Italian
Tracking,,Tracking,,Neutral/Side,Self-touch,Neutral,"Neutral, Frown, Raised brows",Comfortable,,F,,German
Tracking,,Neutral,,Back,,Neutral,"Smile, Raised brows",Comfortable,,F,,German
Tracking,,Neutral,,Back,,Neutral,Smile,Comfortable,,F,,German
Tracking,,Tracking,,Neutral/Side,,Smile,,Comfortable,,F,,Italian
Tracking,,Neutral,,Crossed,,Neutral,"Smile, Raised brows",Comfortable,,F,,Italian
Tracking,,Tracking,Neutral,Crossed,Self-touch,Smile,,Comfortable,Withdrawal signal,F,,German
Neutral,Tracking,Neutral,Tracking,Crossed,,Neutral,Smile,Comfortable,,F,,Italian
Neutral,Tracking,Neutral,,Crossed,Self-touch,Neutral,Smile,Comfortable,,F,,German
Tracking,Neutral,Neutral,,Neutral/Side,Crossed,Neutral,Smile,Comfortable,,F,,German
Tracking,Away,Neutral,Tracking,Back,,Smile,,Comfortable,,F,,Italian
Neutral,Tracking,Neutral,,Back,,Neutral,Smile,Comfortable,,F,,Italian
Tracking,,Tracking,,Neutral/Side,Self-touch,Neutral,,Comfortable,,F,,Italian
Tracking,Away,Tracking,,Crossed,"Self-touch, Neutral/Side",Neutral,Smile,Comfortable,,F,,Italian
Tracking,Neutral,Neutral,,Neutral/Side,"Crossed, Self-touch, Back",Neutral,,Comfortable,,F,,Italian
Away,"Tracking, Neutral",Neutral,,Back,Self-touch,Smile,,Comfortable,,F,,German
Tracking,,Neutral,Tracking,Neutral/Side,,Neutral,Smile,Comfortable,,F,,Italian
Neutral,,Neutral,,Neutral/Side,Self-touch,Neutral,,Comfortable,,F,,German
Tracking,,Neutral,,Back,,Neutral,,Comfortable,,F,,German
Tracking,Away,Neutral,Tracking,Back,Self-touch,Neutral,,Comfortable,,F,,German
Tracking,Neutral,Tracking,Neutral,Neutral/Side,,Smile,,Comfortable,,F,,Italian
Tracking,,Neutral,,Crossed,,Neutral,,Comfortable,,F,,Italian
Tracking,Neutral,Neutral,Tracking,Neutral/Side,,Smile,,Comfortable,Withdrawal signal,F,,German
Tracking,Neutral,Neutral,,Crossed,,Smile,,Comfortable,,F,,Italian
Tracking,,Neutral,,Crossed,,Neutral,,Comfortable,,F,,Italian
Tracking,,Neutral,,Crossed,Self-touch,Neutral,Smile,Comfortable,,F,,German
Tracking,,Neutral,Tracking,Back,"Crossed, Self-touch, Neutral/Side",Smile,,Comfortable,,F,,German
Tracking,,Tracking,,Neutral/Side,,Smile,,Comfortable,,F,,German
Tracking,,Neutral,Tracking,Neutral/Side,,Neutral,Smile,Comfortable,,F,,German
Neutral,Tracking,Neutral,,Neutral/Side,Self-touch,Neutral,Smile,Comfortable,,F,,Italian
Tracking,,Neutral,Tracking,Crossed,,Neutral,Smile,Comfortable,,F,,German
Tracking,Away,Tracking,,Back,,Neutral,Smile,Comfortable,Withdrawal signal,F,,German
Neutral,"Away, Tracking",Neutral,Tracking,Back,,Neutral,,Comfortable,,F,,German
Neutral,"Away, Tracking",Neutral,,Crossed,,Neutral,,Comfortable,,F,,Italian
Tracking,,Neutral,Tracking,Back,,Neutral,Smile,Comfortable,,F,,German
Tracking,,Tracking,,Neutral/Side,,Frown,Neutral,Comfortable,,F,,German
Tracking,,Tracking,,Back,,Neutral,Frown,Comfortable,,F,,German
Neutral,Tracking,Neutral,,Back,,Neutral,"Smile, Raised brows",Comfortable,,F,,German
Tracking,,Neutral,,Back,,Neutral,Smile,Comfortable,,F,,Italian
Neutral,Tracking,Neutral,,Neutral/Side,Crossed,Smile,,Comfortable,,F,,German
Tracking,,Tracking,,Crossed,,Neutral,,Comfortable,,F,,German
