Head orientation ,Head orientation (optionals),Torso orientation ,Torso orientation (optional),Arms/Hands ,Arms/Hands (optionals),Facial affect ,Facial affect (optionals),Proxemics ,Proxemics (optionals),Paradigm,Unnamed: 3,Nationality
Tracking,,Tracking,,Neutral/Side,,Smile,Raised brows,Comfortable,,A,,German
Tracking,,Neutral,,Neutral/Side,,Neutral,Smile,Comfortable,,A,,German
Tracking,,Neutral,,Neutral/Side,,Neutral,"Smile, Raised brows",Comfortable,,A,,German
Tracking,,Tracking,,Neutral/Side,Fidgeting,Smile,,Comfortable,,A,,German
Tracking,,Neutral,,Neutral/Side,,Smile,,Comfortable,,A,,German
Tracking,,Tracking,,Neutral/Side,,Smile,Neutral,Comfortable,,A,,German
Tracking,,Tracking,,Back,,Smile,,Comfortable,,A,,German
Tracking,,Neutral,,Back,,Neutral,,Comfortable,,A,,German
Tracking,,Neutral,,Back,,Neutral,Smile,Comfortable,,A,,German
Tracking,,Neutral,,Back,,Smile,"Frown, Raised brows",Comfortable,,A,,German
Tracking,Away,Neutral,,Neutral/Side,,Smile,,Comfortable,,A,,German
Tracking,,Tracking,,Neutral/Side,Self-touch,Smile,,Comfortable,,A,,German
Tracking,,Neutral,,Back,,Neutral,,Comfortable,,A,,German
Tracking,,Neutral,,Back,,Smile,,Comfortable,,A,,German
Tracking,,Neutral,,Neutral/Side,"Crossed, Self-touch",Smile,Frown,Comfortable,,A,,German
Tracking,Away,Neutral,,Self-touch,Neutral/Side,Neutral,"Frown, Raised brows",Comfortable,,A,,German
Tracking,,Neutral,,Neutral/Side,,Neutral,Smile,Comfortable,,A,,German
Tracking,Away,Neutral,,Neutral/Side,,Smile,"Frown, Raised brows",Comfortable,,A,,German
Tracking,,Neutral,,Neutral/Side,,Neutral,,Comfortable,,A,,German
Tracking,,Tracking,,Back,Self-touch,Neutral,"Smile, Frown",Comfortable,,A,,German
