,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
count,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0
mean,2.3225806451612905,2.4516129032258065,3.4838709677419355,6.0,6.903225806451613,7.516129032258065,5.870967741935484,6.967741935483871,6.258064516129032,2.752688172043011,6.044802867383513
std,1.57875682683546,1.524001524002286,1.7101845464147132,1.7701224063135672,1.6803737423497471,1.567821583002681,2.012327598973735,1.5807987636580425,1.7695148475497242,1.4036137010389738,1.3179997435663204
min,1.0,1.0,1.0,2.0,3.0,3.0,1.0,3.0,2.0,1.0,2.8333333333333335
25%,1.0,1.0,2.0,5.0,6.0,7.0,5.0,6.0,5.0,1.6666666666666667,5.111111111111112
50%,2.0,2.0,3.0,6.0,7.0,8.0,6.0,7.0,6.0,2.6666666666666665,6.166666666666667
75%,3.0,3.0,5.0,7.0,8.0,9.0,7.0,8.0,8.0,3.0,6.888888888888889
max,7.0,7.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,6.666666666666667,7.944444444444444
