,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
count,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
mean,2.3333333333333335,2.0,2.3333333333333335,4.5,5.5,4.166666666666667,5.166666666666667,6.0,5.333333333333333,2.2222222222222223,4.731481481481482
std,1.0327955589886444,1.5491933384829668,1.3662601021279464,2.258317958127243,2.16794833886788,2.136976056643281,2.714160398109638,2.8284271247461903,2.3380903889000244,1.2765694770084508,1.933913280406256
min,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.4444444444444444
25%,2.0,1.0,1.25,2.5,4.5,2.25,4.0,5.25,5.25,1.4166666666666665,4.013888888888889
50%,2.0,1.0,2.0,4.5,6.0,4.0,5.0,6.5,6.0,1.6666666666666667,5.194444444444445
75%,2.75,3.25,3.5,6.5,6.75,5.75,7.5,7.75,6.0,3.1666666666666665,5.791666666666666
max,4.0,4.0,4.0,7.0,8.0,7.0,8.0,9.0,8.0,4.0,6.944444444444444
