,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
count,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
mean,2.625,2.8333333333333335,2.9583333333333335,5.041666666666667,5.875,5.791666666666667,5.708333333333333,6.375,5.458333333333333,2.805555555555556,5.335648148148149
std,1.6100904646471967,1.6854019432007687,1.2328534123049195,1.8528278426483,1.9406968716999795,2.0425722629261767,1.6805580508625224,1.7147062113681013,1.6934443076725039,1.3967410884902658,1.4651506553979563
min,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,2.5
25%,1.75,1.75,2.0,4.0,4.75,4.75,4.75,5.0,4.0,2.0,4.208333333333334
50%,2.0,2.0,3.0,5.0,6.0,6.0,6.0,6.5,5.5,2.166666666666667,5.305555555555555
75%,3.0,4.0,3.25,6.0,7.25,7.0,7.0,8.0,6.25,3.6666666666666665,6.263888888888889
max,7.0,7.0,6.0,9.0,9.0,9.0,9.0,9.0,8.0,6.666666666666667,8.277777777777777
